PRSM,FICO,TotalAmtOwed,Volume,Stress,Num_Delinquent,Num_CreditLines,WomanOwned,CorpStructure,NAICS,Months
0.9479278572664531,839,197639,82782,0.19895528818664285,3,12,1,Sole,444140,15
0.9633839205403951,736,224181,58002,0.3220880314471915,4,11,1,Corp,458210,17
1.1399601567381803,729,32346,11564,0.2330940850916638,4,12,1,Partner,722410,22
0.40739978038299657,599,63525,30373,0.174291311362065,5,11,0,Sole,444240,12
0.9247905664273757,710,175181,54820,0.26629727593335767,4,11,1,Corp,445230,18
0.8430704842900889,680,248385,43211,0.4790157598759575,4,11,1,Corp,722514,23
0.6250036182337229,691,258654,241356,0.0893058386781352,4,12,0,Sole,445292,14
0.8968792436561763,770,280182,94187,0.24789514476520114,4,13,1,Corp,445250,16
0.8686180353308163,850,248993,181704,0.11419350518792469,3,9,1,Corp,722513,19
1.2410289466967053,691,298062,87855,0.2827215297934096,4,8,1,LLC,722330,19
0.6679925251013747,640,85748,45706,0.1563397949211628,4,12,0,LLC,459210,14
1.0005484224373227,676,329035,62884,0.43603433835845895,4,12,0,LLC,722410,10
2.6988461369182914,768,32770,13222,0.206537084656885,4,12,0,Partner,441120,20
0.4838339260757555,625,71165,63487,0.09341151206808744,5,12,0,LLC,445240,17
1.1158918250901575,698,131280,59446,0.18403256737206877,4,12,1,LLC,445240,19
0.6056466655708843,578,270742,88812,0.25404036991998075,5,9,0,Sole,445250,18
0.528157593880927,679,139304,56236,0.2064276738506769,4,10,0,Sole,445230,15
0.5714541645300957,756,154337,68072,0.18893842793904492,4,12,0,Corp,459310,21
1.0023540160629292,666,153466,94341,0.13555965416238258,4,8,1,Partner,445291,21
0.5383521460708794,686,233223,99943,0.1944633441061405,4,12,0,Corp,445291,17
0.6576373713783973,791,172379,73709,0.1948868749632564,4,10,0,LLC,445110,10
0.9200976009607524,668,219940,113831,0.16101354932604767,4,11,0,LLC,445320,17
0.505322054091958,537,287255,637570,0.0375455505539261,6,8,0,Sole,441120,20
0.649163629099062,699,146141,52867,0.23035951854023617,4,11,0,Partner,445230,16
0.7695349893370345,745,133715,67960,0.16396287031587206,4,11,1,Sole,458310,12
0.39709883893526643,722,22162,21243,0.08693844246732256,4,10,0,Partner,445320,21
1.0064758003525465,679,221786,139451,0.13253520352429649,4,12,1,LLC,458210,17
1.021331400256018,678,104074,30299,0.28624157012882717,4,12,1,Partner,459210,18
